student_key,programme,faculty,gender,international_flag,study_level,length_of_stay_months,avg_wellbeing,avg_stress,avg_sleep,avg_loneliness,used_support
STU-00001,Arts,Humanities,Female,0,Undergraduate,37,78.33,42.2,6.73,45.23,0
STU-00002,Engineering,Engineering,Male,0,Undergraduate,31,66.9,42.03,6.9,46.27,0
STU-00003,Arts,Humanities,Female,1,Postgraduate,13,60.23,53.97,5.53,45.27,0
STU-00004,Computing,Technology,Female,0,Undergraduate,6,75.4,38.67,6.1,42.67,0
STU-00005,Engineering,Engineering,Female,1,Postgraduate,4,65.6,46.17,6.53,50.93,0
STU-00006,Social Sciences,Social Sciences,Female,0,Undergraduate,41,75.2,33.67,6.67,56.83,0
STU-00007,Business,Business,Female,0,Postgraduate,30,72.13,62.9,6.3,49.77,0
STU-00008,Engineering,Engineering,Male,1,Postgraduate,36,79.23,39.27,7.17,52.83,0
STU-00009,Engineering,Engineering,Female,1,Undergraduate,15,63.57,47.87,5.63,43.03,0
STU-00010,Computing,Technology,Female,1,Postgraduate,3,53.57,56.03,5.47,50.17,1
STU-00011,Computing,Technology,Female,0,Postgraduate,26,65.77,37.2,5.67,39.4,0
STU-00012,Health,Health,Male,0,Undergraduate,10,71.6,57.43,5.63,50.6,0
STU-00013,Engineering,Engineering,Male,0,Undergraduate,36,77.3,43.97,5.93,54.67,0
STU-00014,Business,Business,Male,0,Undergraduate,13,73.1,38.47,6.37,45.8,0
STU-00015,Engineering,Engineering,Female,0,Undergraduate,15,65.53,46.37,6.1,37.37,0
STU-00016,Computing,Technology,Female,1,Undergraduate,37,71.17,46.2,6.37,52.8,0
STU-00017,Health,Health,Female,1,Undergraduate,27,62.47,49.57,5.7,47.77,0
STU-00018,Engineering,Engineering,Female,0,Undergraduate,12,71.23,44.5,6.67,42.53,0
STU-00019,Social Sciences,Social Sciences,Female,0,Postgraduate,32,70.13,41.07,6.07,45.7,0
STU-00020,Business,Business,Male,0,Postgraduate,30,71.73,43.87,6.43,30.17,0
STU-00021,Computing,Technology,Male,0,Undergraduate,47,66.43,61.77,6.47,48.5,0
