student_key,programme_id,gender,international_flag,study_level,length_of_stay_months,age_band
STU-00001,P05,Female,0,Undergraduate,37,25-34
STU-00002,P03,Male,0,Undergraduate,31,21-24
STU-00003,P05,Female,1,Postgraduate,13,25-34
STU-00004,P01,Female,0,Undergraduate,6,21-24
STU-00005,P03,Female,1,Postgraduate,4,21-24
STU-00006,P06,Female,0,Undergraduate,41,18-20
STU-00007,P02,Female,0,Postgraduate,30,21-24
STU-00008,P03,Male,1,Postgraduate,36,21-24
STU-00009,P03,Female,1,Undergraduate,15,18-20
STU-00010,P01,Female,1,Postgraduate,3,18-20
STU-00011,P01,Female,0,Postgraduate,26,21-24
STU-00012,P04,Male,0,Undergraduate,10,21-24
STU-00013,P03,Male,0,Undergraduate,36,25-34
STU-00014,P02,Male,0,Undergraduate,13,21-24
STU-00015,P03,Female,0,Undergraduate,15,21-24
STU-00016,P01,Female,1,Undergraduate,37,21-24
STU-00017,P04,Female,1,Undergraduate,27,21-24
STU-00018,P03,Female,0,Undergraduate,12,25-34
STU-00019,P06,Female,0,Postgraduate,32,18-20
STU-00020,P02,Male,0,Postgraduate,30,18-20
STU-00021,P01,Male,0,Undergraduate,47,18-20
STU-00022,P02,Male,1,Undergraduate,16,21-24
STU-00023,P03,Female,0,Undergraduate,21,25-34
STU-00024,P03,Female,0,Undergraduate,43,18-20
STU-00025,P04,Female,0,Undergraduate,41,21-24
STU-00026,P04,Female,0,Undergraduate,44,25-34
STU-00027,P02,Male,0,Postgraduate,6,35+
STU-00028,P03,Female,0,Undergraduate,24,25-34
STU-00029,P01,Female,0,Undergraduate,21,18-20
STU-00030,P03,Female,1,Undergraduate,9,18-20
STU-00031,P06,Female,0,Undergraduate,39,21-24
STU-00032,P01,Female,1,Postgraduate,5,18-20
STU-00033,P01,Female,0,Postgraduate,33,18-20
STU-00034,P01,Female,0,Postgraduate,8,21-24
STU-00035,P06,Prefer not to say,0,Undergraduate,31,21-24
STU-00036,P05,Male,1,Undergraduate,34,21-24
STU-00037,P04,Female,1,Undergraduate,43,18-20
STU-00038,P03,Female,1,Undergraduate,10,18-20
STU-00039,P05,Male,0,Undergraduate,27,21-24
STU-00040,P01,Male,0,Undergraduate,35,21-24
STU-00041,P04,Male,0,Undergraduate,31,25-34
STU-00042,P03,Female,0,Undergraduate,11,21-24
STU-00043,P05,Male,0,Postgraduate,23,21-24
STU-00044,P01,Prefer not to say,0,Undergraduate,37,21-24
STU-00045,P04,Male,0,Undergraduate,1,18-20
STU-00046,P02,Female,0,Undergraduate,14,18-20
STU-00047,P01,Male,0,Undergraduate,8,18-20
STU-00048,P04,Female,0,Postgraduate,1,35+
STU-00049,P04,Female,0,Undergraduate,3,18-20
STU-00050,P03,Male,0,Postgraduate,36,35+
STU-00051,P06,Female,0,Postgraduate,38,18-20
STU-00052,P03,Female,0,Undergraduate,22,25-34
STU-00053,P02,Male,0,Undergraduate,20,18-20
STU-00054,P01,Prefer not to say,1,Undergraduate,12,18-20
STU-00055,P01,Female,1,Postgraduate,37,18-20
STU-00056,P03,Male,0,Undergraduate,24,21-24
STU-00057,P02,Male,1,Postgraduate,28,21-24
STU-00058,P05,Female,0,Postgraduate,43,21-24
STU-00059,P05,Female,0,Undergraduate,18,18-20
STU-00060,P05,Female,0,Undergraduate,31,25-34
STU-00061,P02,Male,0,Undergraduate,30,21-24
STU-00062,P04,Female,0,Postgraduate,30,25-34
STU-00063,P02,Male,0,Postgraduate,39,18-20
STU-00064,P02,Female,0,Undergraduate,17,25-34
STU-00065,P05,Male,1,Postgraduate,22,25-34
STU-00066,P02,Male,0,Undergraduate,32,21-24
STU-00067,P06,Male,0,Postgraduate,5,18-20
STU-00068,P05,Male,0,Undergraduate,39,18-20
STU-00069,P01,Male,1,Postgraduate,24,21-24
STU-00070,P04,Female,0,Undergraduate,3,35+
STU-00071,P06,Female,1,Undergraduate,21,21-24
STU-00072,P04,Male,0,Postgraduate,16,25-34
STU-00073,P02,Male,0,Undergraduate,28,25-34
STU-00074,P05,Female,0,Undergraduate,19,25-34
STU-00075,P04,Male,0,Undergraduate,25,21-24
STU-00076,P03,Female,1,Postgraduate,40,18-20
STU-00077,P03,Female,0,Undergraduate,8,21-24
STU-00078,P04,Female,0,Undergraduate,9,21-24
STU-00079,P04,Female,1,Postgraduate,46,18-20
STU-00080,P06,Male,1,Undergraduate,4,21-24
STU-00081,P01,Female,0,Undergraduate,16,25-34
STU-00082,P06,Male,1,Undergraduate,41,35+
STU-00083,P01,Female,1,Undergraduate,20,18-20
STU-00084,P01,Male,0,Undergraduate,34,25-34
STU-00085,P06,Male,0,Undergraduate,4,21-24
STU-00086,P05,Female,0,Undergraduate,24,18-20
STU-00087,P01,Male,1,Undergraduate,3,18-20
STU-00088,P06,Female,0,Undergraduate,17,21-24
STU-00089,P01,Female,0,Undergraduate,10,18-20
STU-00090,P04,Female,1,Postgraduate,7,18-20
STU-00091,P04,Male,0,Undergraduate,48,21-24
STU-00092,P04,Female,1,Undergraduate,26,18-20
STU-00093,P02,Female,1,Postgraduate,29,21-24
STU-00094,P03,Male,0,Postgraduate,45,25-34
STU-00095,P05,Female,1,Undergraduate,9,21-24
STU-00096,P05,Female,0,Undergraduate,19,18-20
STU-00097,P02,Female,0,Undergraduate,26,25-34
STU-00098,P01,Prefer not to say,0,Postgraduate,11,21-24
STU-00099,P06,Female,0,Undergraduate,36,25-34
STU-00100,P04,Male,0,Undergraduate,27,25-34
STU-00101,P01,Male,0,Undergraduate,16,21-24
STU-00102,P06,Male,0,Undergraduate,3,18-20
STU-00103,P02,Male,0,Undergraduate,44,21-24
STU-00104,P04,Female,0,Postgraduate,34,21-24
STU-00105,P04,Non-binary,0,Undergraduate,37,18-20
STU-00106,P05,Female,1,Postgraduate,7,18-20
STU-00107,P03,Female,0,Undergraduate,45,21-24
STU-00108,P05,Female,0,Postgraduate,8,18-20
STU-00109,P01,Male,1,Undergraduate,47,25-34
STU-00110,P05,Female,0,Postgraduate,32,25-34
STU-00111,P04,Prefer not to say,0,Postgraduate,44,18-20
STU-00112,P06,Female,0,Undergraduate,12,18-20
STU-00113,P02,Female,0,Undergraduate,42,25-34
STU-00114,P03,Female,0,Undergraduate,36,21-24
STU-00115,P05,Male,0,Undergraduate,43,21-24
STU-00116,P03,Female,0,Postgraduate,39,21-24
STU-00117,P05,Female,1,Undergraduate,13,18-20
STU-00118,P06,Female,0,Undergraduate,41,21-24
STU-00119,P03,Female,0,Undergraduate,23,35+
STU-00120,P05,Female,0,Undergraduate,35,25-34
STU-00121,P03,Female,1,Postgraduate,18,18-20
STU-00122,P02,Female,0,Undergraduate,21,18-20
STU-00123,P05,Female,0,Undergraduate,15,21-24
STU-00124,P01,Prefer not to say,0,Undergraduate,32,21-24
STU-00125,P04,Male,0,Undergraduate,32,18-20
STU-00126,P05,Female,0,Undergraduate,2,21-24
STU-00127,P04,Female,1,Postgraduate,1,25-34
STU-00128,P06,Female,0,Undergraduate,6,21-24
STU-00129,P02,Male,1,Postgraduate,40,21-24
STU-00130,P02,Male,0,Undergraduate,7,18-20
STU-00131,P04,Female,0,Undergraduate,13,35+
STU-00132,P03,Female,0,Postgraduate,13,18-20
STU-00133,P01,Female,0,Undergraduate,23,18-20
STU-00134,P04,Female,0,Undergraduate,7,21-24
STU-00135,P02,Female,0,Postgraduate,43,18-20
STU-00136,P04,Male,0,Postgraduate,36,18-20
STU-00137,P05,Male,1,Undergraduate,11,18-20
STU-00138,P06,Male,0,Undergraduate,39,18-20
STU-00139,P06,Female,0,Undergraduate,3,21-24
STU-00140,P03,Female,0,Undergraduate,29,21-24
STU-00141,P06,Male,0,Undergraduate,15,18-20
STU-00142,P06,Female,0,Undergraduate,13,25-34
STU-00143,P02,Male,1,Undergraduate,14,21-24
STU-00144,P05,Male,0,Undergraduate,38,35+
STU-00145,P03,Male,0,Undergraduate,17,21-24
STU-00146,P03,Male,0,Undergraduate,24,21-24
STU-00147,P02,Male,0,Undergraduate,34,21-24
STU-00148,P06,Prefer not to say,0,Undergraduate,41,18-20
STU-00149,P01,Female,0,Undergraduate,18,18-20
STU-00150,P06,Male,1,Undergraduate,9,21-24
STU-00151,P01,Female,1,Undergraduate,28,18-20
STU-00152,P01,Female,0,Undergraduate,25,21-24
STU-00153,P04,Female,1,Undergraduate,15,25-34
STU-00154,P05,Female,0,Undergraduate,45,21-24
STU-00155,P05,Non-binary,0,Undergraduate,48,21-24
STU-00156,P03,Male,0,Undergraduate,25,35+
STU-00157,P01,Female,1,Undergraduate,31,21-24
STU-00158,P01,Female,0,Undergraduate,47,18-20
STU-00159,P03,Female,1,Undergraduate,18,21-24
STU-00160,P06,Female,0,Undergraduate,14,25-34
STU-00161,P03,Male,0,Undergraduate,37,21-24
STU-00162,P05,Female,0,Undergraduate,27,35+
STU-00163,P01,Female,1,Undergraduate,35,25-34
STU-00164,P05,Male,0,Undergraduate,12,18-20
